"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
94900,1,2,"LOW/AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",56,57,163,6186461.5,15468700
52554,1,2,"AVERAGE","WOOD FRAME","HOT WATER-RADIANT","Rect or Slight Irreg",117,83,108.6999969,2951331.25,5712619.6370826
168115,1,5,"AVERAGE/GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",44,78,176.6000061,9536161,29689110.0255015
59400,1,8,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",107,14,398.7000122,5071974,23682780.72468
54984,1,2,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",55,71,139.6000061,3375211,7675766.7354024
316306,1,5,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",7,96,144,13795954,45548064
571329,1,12,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Long Rect or Irreg",7,91,174.1999969,39605888,99525510.0288801
920598,1,6,"EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Very Irreg",7,93,130.8000031,36667044,120414221.253854
76213,1,4,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",47,68,192.3999939,3476212.5,14663380.7351007
99433,1,3,"GOOD/EXCELLENT","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",14,63,241.5,4897760,24013069.5
96300,1,2,"AVERAGE/GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",15,NA,476.5,16319835,45886950
54765,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",59,NA,234.8999939,4253369.5,12864298.1659335
64015,1,3,"AVERAGE","MASONRY","SPACE HEATERS","Very Irreg",10,21,165.8000031,3242077.75,10613687.1984465
91130,1,2,"AVERAGE/GOOD","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",60,NA,262.7000122,9472358,23939852.111786
44558,1,3,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",117,78,101.3000031,1677002.25,4513725.5381298
50759,1,5,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",45,62,170.3999939,3147042,8649333.2903701
56500,1,4,"AVERAGE/GOOD","MASONRY","STEAM WITHOUT BOILER","Rect or Slight Irreg",103,98,84.5,1380293.625,4774250
77662,1,4,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",36,57,228.8999939,5007401,17776831.3262618
234000,1,12,"AVERAGE/GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",39,39,276.6000061,18661606,64724401.4274
369996,1,25,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",28,74,202.5,24755086,74924190
791396,1,33,"AVERAGE/GOOD","REINFORCED CONCRETE","HOT & CHILLED WATER","Rect or Slight Irreg",41,89,189.5,40847752,149969542
747747,1,23,"EXCELLENT","STRUCTURAL STEEL","WARMED AND COOLED AIR","Long Rect or Irreg",17,90,164.6000061,30985420,123079160.761257
63409,1,10,"AVERAGE","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",91,90,131.6999969,3444270,8350965.1034321
204790,1,17,"AVERAGE","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",87,91,127.8000031,7739699,26172162.634849
73399,1,5,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",101,61,191.6999969,3757006,14070588.0724631
265851,1,20,"AVERAGE","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",48,90,146.6999969,14633233,39000340.8758619
758043,1,25,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Very Irreg",8,95,142.3999939,27018020,107945318.575938
206000,1,12,"AVERAGE","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",49,91,139.5,8580279,28737000
824887,1,36,"GOOD/EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",8,97,166.8999939,39523852,137673635.268189
480840,1,16,"AVERAGE/GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",27,94,164.6000061,17867002,79146266.933124
89550,1,7,"GOOD","MASONRY","STEAM WITHOUT BOILER","Long Rect or Irreg",117,85,141.6000061,3903259.75,12680280.546255
89355,1,6,"AVERAGE/GOOD","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",117,66,145.3999939,4178233.5,12992216.4549345
388934,1,15,"GOOD","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",95,89,144,18576900,56006496
384302,1,22,"GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",88,98,89.30000305,10062436,34318169.7721211
378525,1,17,"GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",59,69,240.8999939,24906132,91186670.1909975
589921,1,41,"GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",31,84,160.6999969,24603420,94800302.8712449
91091,1,6,"AVERAGE/GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",67,NA,53.90000153,1835804.875,4909805.03936923
157941,1,8,"GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",49,81,138.5,3743228.5,21874828.5
635303,1,29,"GOOD/EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",26,95,108.8000031,18221224,69120968.3694393
776762,1,34,"GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",37,81,168.3000031,32552428,130729047.007962
186768,1,14,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",45,95,142.8000031,9641043,26670470.9789808
617684,1,42,"GOOD","STRUCTURAL STEEL","HOT & CHILLED WATER","Rect or Slight Irreg",44,28,361.2000122,69519808,223107468.335745
201480,1,8,"AVERAGE","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",110,91,123.5,8921778,24882780
310490,1,14,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",16,NA,187.5,21169502,58216875
199530,1,8,"EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",14,69,178.1000061,13214416,35536294.217133
372242,1,13,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Long Rect or Irreg",11,98,119.0999985,13843866,44334021.641637
114395,1,7,"AVERAGE","REINFORCED CONCRETE","HOT & CHILLED WATER","Rect or Slight Irreg",108,99,65.40000153,2746560.75,7481433.17502435
474546,1,23,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",46,77,188.3000031,28450436,89357013.2710926
135051,1,6,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",15,88,144.8999939,4426136,19568889.0761889
220649,1,5,"AVERAGE/GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",15,93,151.8000031,7046345.5,33494518.8840119
413715,1,18,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",37,79,218.3999939,24224888,90355353.4763385
497513,1,20,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",29,65,227.8999939,26823218,113383209.665171
543876,1,24,"AVERAGE/GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",38,79,187.3999939,25307744,101922359.082356
396626,1,6,"AVERAGE/GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",35,64,233.3000031,20361158,92532847.0295406
287471,1,6,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",15,74,235.1000061,14913424,67584433.8535731
192630,1,3,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",70,94,112.4000015,5357833,21651612.288945
253103,1,8,"AVERAGE/GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",33,3,506.1000061,29949248,128095429.843928
50176,1,5,"AVERAGE","MASONRY","STEAM WITHOUT BOILER","Rect or Slight Irreg",117,77,143.1999969,2933288.75,7185203.0444544
304346,1,42,"AVERAGE/GOOD","REINFORCED CONCRETE","HOT & CHILLED WATER","Rect or Slight Irreg",105,72,182.6000061,23262244,55573581.4565106
321945,1,8,"AVERAGE/GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",90,76,158,13656587,50867310
336330,1,22,"AVERAGE/GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",53,77,182.6999969,18967014,61447489.957377
298426,1,21,"AVERAGE/GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",57,79,202.1000061,27076922,60311896.4203986
176532,1,5,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",16,60,176.1000061,5803409,31087286.2768452
350310,1,6,"GOOD","REINFORCED CONCRETE","HOT & CHILLED WATER","Rect or Slight Irreg",101,90,154.1999969,18102026,54017800.914039
135918,1,10,"AVERAGE/GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",59,91,111.0999985,6423556.5,15100489.596123
127268,1,4,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",96,71,171.5,7711757.5,21826462
5e+05,1,29,"AVERAGE/GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",34,93,139,18848780,69500000
109830,1,6,"EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",33,45,275.8999939,7335905.5,30302096.330037
130513,1,10,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",107,49,204.1000061,11651200,26637704.0961293
60660,1,8,"LOW COST","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",97,NA,173.6999969,2586116,10536641.811954
137350,1,14,"AVERAGE","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",88,89,125.4000015,6366084.5,17223690.206025
151039,1,15,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",88,84,92.30000305,5446624,13940900.160669
755000,1,30,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",32,72,217.1000061,52226204,163910504.6055
63540,1,4,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",111,72,154.5,3518459.5,9816930
130893,1,10,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",90,80,179.6000061,6962073,23508383.5984473
794592,1,36,"GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",37,96,108.6999969,26689658,86372147.9367648
456304,1,21,"GOOD","STRUCTURAL STEEL","HEAT PUMP","Rect or Slight Irreg",46,74,177.6000061,19397324,81039593.1834544
115857,1,12,"GOOD/EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",31,89,141.8000031,4757299.5,16428522.9591567
87500,1,4,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",18,72,199.1000061,4549892,17421250.53375
374405,1,11,"GOOD/EXCELLENT","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",19,72,217.1000061,13329024,81283327.7838705
102846,1,11,"GOOD","REINFORCED CONCRETE","STEAM WITHOUT BOILER","Rect or Slight Irreg",94,96,98.5,5327249.5,10130331
52800,1,4,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",92,83,123.0999985,2429021,6499679.9208
275734,1,5,"AVERAGE/GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",36,77,225,16373232,62040150
158600,1,3,"GOOD/EXCELLENT","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",55,19,360.3999939,18309150,57159439.03254
139200,1,7,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",16,81,166.1000061,4342597,23121120.84912
95721,1,6,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",33,95,100.5,3063504.5,9619960.5
103697,1,3,"GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Very Irreg",16,7,350.2999878,11319836,36325057.8348966
74880,1,5,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",43,56,224.6999969,5134607.5,16825535.767872
88774,1,6,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",38,53,221.8000031,6029121.5,19690073.4751994
122250,1,5,"AVERAGE/GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",34,93,136.3999939,5535626,16674899.254275
53730,1,4,"GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",38,20,277.2000122,4742869,14893956.655506
55593,1,3,"AVERAGE","REINFORCED CONCRETE","PACKAGE UNIT","Rect or Slight Irreg",57,55,186.6999969,4224872.5,10379212.9276617
134056,1,4,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",35,54,204.6000061,4695139,27427858.4177416
287819,1,8,"AVERAGE","REINFORCED CONCRETE","FORCED AIR UNIT","Rect or Slight Irreg",88,NA,550.7000122,48406556,158501926.811392
184482,1,5,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",8,95,148.5,5671256,27395577
139282,1,6,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",13,96,117.3000031,3238216,16337779.0317742
271071,1,5,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",8,96,131.5,7851334.5,35645836.5
560516,1,5,"GOOD/EXCELLENT","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",15,71,202.1999969,30083496,113336333.4624
226592,1,6,"GOOD/EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",16,49,281.6000061,11963428,63808308.5822112
209816,1,4,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",11,97,135.1999969,6917478.5,28367122.5495704
303103,1,6,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",11,97,123.6999969,7519466.5,37493840.1603807
88062,1,5,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",43,80,165.6000061,3415561.25,14583067.7371782
87178,1,5,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",45,69,171.1000061,3632613.75,14916156.3317858
87178,1,5,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",47,86,164.3000031,3493093.75,14323345.6702518
86995,1,4,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",32,81,161.3999939,2991674.75,14040992.4693305
88000,1,5,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",46,75,157,3484915.5,13816000
124071,1,3,"AVERAGE/GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",29,73,162.3999939,4991360.5,20149129.6431669
90000,1,4,"AVERAGE","REINFORCED CONCRETE","PACKAGE UNIT","Very Irreg",17,84,136,3897738,12240000
96041,1,3,"AVERAGE","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",16,70,273.1000061,5413418,26228797.6858501
280957,1,3,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",18,96,211.3000031,11325513,59366214.9709667
243334,1,4,"AVERAGE/GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",18,89,187.3999939,8651835,45600790.1156626
390295,1,5,"GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",35,95,99.30000305,7683885,38756294.6903998
94033,1,6,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",92,NA,130.8999939,4758198,12308919.1263987
181694,1,10,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Long Rect or Irreg",15,88,156.8000031,7637986,28489619.7632514
53250,1,1,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",53,96,77.19999695,1794187.25,4110899.8375875
78672,1,6,"AVERAGE","REINFORCED CONCRETE","REFRIGERATED COOLING","Rect or Slight Irreg",30,98,79.30000305,2179719.75,6238689.8399496
336700,1,6,"EXCELLENT","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",12,95,113.5,9058916,38215450
